Role,Employee_Name,Total_Shifts,Role_Average,Role_Min,Role_Max,Role_Range
SUPERVISOR,Sarah Thompson,2,1.4,0,2,0 - 2
SUPERVISOR,David Rodriguez,2,1.4,0,2,0 - 2
SUPERVISOR,Robert Johnson,2,1.4,0,2,0 - 2
SUPERVISOR,Jennifer Wilson,1,1.4,0,2,0 - 2
SUPERVISOR,Michael Anderson,0,1.4,0,2,0 - 2
MECHANIC,Maria Garcia,3,2.1,1,3,1 - 3
MECHANIC,Christopher Lee,3,2.1,1,3,1 - 3
MECHANIC,Amanda Foster,3,2.1,1,3,1 - 3
MECHANIC,Elena Petrov,2,2.1,1,3,1 - 3
MECHANIC,James Mitchell,2,2.1,1,3,1 - 3
MECHANIC,Thomas Baker,2,2.1,1,3,1 - 3
MECHANIC,Daniel Murphy,2,2.1,1,3,1 - 3
MECHANIC,Nicole Phillips,2,2.1,1,3,1 - 3
MECHANIC,Marcus Chen,1,2.1,1,3,1 - 3
MECHANIC,Lisa Williams,1,2.1,1,3,1 - 3
WORKER,Rachel Davis,3,1.9,1,3,1 - 3
WORKER,Steven Martinez,3,1.9,1,3,1 - 3
WORKER,Joshua Clark,3,1.9,1,3,1 - 3
WORKER,Stephanie Lewis,3,1.9,1,3,1 - 3
WORKER,Kevin Brown,2,1.9,1,3,1 - 3
WORKER,Michelle Harris,2,1.9,1,3,1 - 3
WORKER,Katherine Hall,2,1.9,1,3,1 - 3
WORKER,Jessica Young,2,1.9,1,3,1 - 3
WORKER,Ryan King,2,1.9,1,3,1 - 3
WORKER,Ashley Taylor,1,1.9,1,3,1 - 3
WORKER,Brian Cooper,1,1.9,1,3,1 - 3
WORKER,Andrew Walker,1,1.9,1,3,1 - 3
WORKER,Matthew Allen,1,1.9,1,3,1 - 3
WORKER,Lauren Wright,1,1.9,1,3,1 - 3
WORKER,Nathan Scott,1,1.9,1,3,1 - 3
