Role,Employee_Name,Total_Shifts,Role_Average,Role_Min,Role_Max,Role_Range
SUPERVISOR,Jennifer Wilson,7,6.0,5,7,5 - 7
SUPERVISOR,Michael Anderson,6,6.0,5,7,5 - 7
SUPERVISOR,David Rodriguez,6,6.0,5,7,5 - 7
SUPERVISOR,Robert Johnson,6,6.0,5,7,5 - 7
SUPERVISOR,Sarah Thompson,5,6.0,5,7,5 - 7
MECHANIC,Maria Garcia,10,9.0,8,10,8 - 10
MECHANIC,Amanda Foster,10,9.0,8,10,8 - 10
MECHANIC,Nicole Phillips,10,9.0,8,10,8 - 10
MECHANIC,Marcus Chen,9,9.0,8,10,8 - 10
MECHANIC,Elena Petrov,9,9.0,8,10,8 - 10
MECHANIC,Thomas Baker,9,9.0,8,10,8 - 10
MECHANIC,Christopher Lee,9,9.0,8,10,8 - 10
MECHANIC,James Mitchell,8,9.0,8,10,8 - 10
MECHANIC,Lisa Williams,8,9.0,8,10,8 - 10
MECHANIC,Daniel Murphy,8,9.0,8,10,8 - 10
WORKER,Steven Martinez,9,8.0,7,9,7 - 9
WORKER,Brian Cooper,9,8.0,7,9,7 - 9
WORKER,Stephanie Lewis,9,8.0,7,9,7 - 9
WORKER,Andrew Walker,9,8.0,7,9,7 - 9
WORKER,Ashley Taylor,8,8.0,7,9,7 - 9
WORKER,Michelle Harris,8,8.0,7,9,7 - 9
WORKER,Joshua Clark,8,8.0,7,9,7 - 9
WORKER,Matthew Allen,8,8.0,7,9,7 - 9
WORKER,Ryan King,8,8.0,7,9,7 - 9
WORKER,Lauren Wright,8,8.0,7,9,7 - 9
WORKER,Nathan Scott,8,8.0,7,9,7 - 9
WORKER,Kevin Brown,7,8.0,7,9,7 - 9
WORKER,Rachel Davis,7,8.0,7,9,7 - 9
WORKER,Katherine Hall,7,8.0,7,9,7 - 9
WORKER,Jessica Young,7,8.0,7,9,7 - 9
