Day_Number,Day_Name,Week_Number,Shift,Supervisors,Mechanics,Workers
1,Monday,1,MORNING,Robert Johnson,Nicole Phillips,Kevin Brown
1,Monday,1,DAY,,James Mitchell,"Steven Martinez, Ashley Taylor"
1,Monday,1,NIGHT,,Maria Garcia,Nathan Scott
2,Tuesday,1,MORNING,Jennifer Wilson,Lisa Williams,Stephanie Lewis
2,Tuesday,1,DAY,,Maria Garcia,"Rachel Davis, Katherine Hall"
2,Tuesday,1,NIGHT,,Thomas Baker,Kevin Brown
3,Wednesday,1,MORNING,David Rodriguez,Elena Petrov,Michelle Harris
3,Wednesday,1,DAY,,Maria Garcia,"Joshua Clark, Matthew Allen"
3,Wednesday,1,NIGHT,,Daniel Murphy,Ashley Taylor
4,Thursday,1,MORNING,Michael Anderson,Christopher Lee,Rachel Davis
4,Thursday,1,DAY,,Amanda Foster,"Steven Martinez, Michelle Harris"
4,Thursday,1,NIGHT,,Nicole Phillips,Katherine Hall
5,Friday,1,MORNING,Sarah Thompson,Christopher Lee,Kevin Brown
5,Friday,1,DAY,,Nicole Phillips,"Steven Martinez, Stephanie Lewis"
5,Friday,1,NIGHT,,Thomas Baker,Brian Cooper
6,Saturday,1,MORNING,Sarah Thompson,Daniel Murphy,Matthew Allen
6,Saturday,1,DAY,,James Mitchell,"Stephanie Lewis, Katherine Hall"
6,Saturday,1,NIGHT,,Christopher Lee,Ashley Taylor
7,Sunday,1,MORNING,Michael Anderson,Thomas Baker,Michelle Harris
7,Sunday,1,DAY,,Elena Petrov,"Brian Cooper, Nathan Scott"
7,Sunday,1,NIGHT,,Lisa Williams,Steven Martinez
8,Monday,2,MORNING,Jennifer Wilson,James Mitchell,Andrew Walker
8,Monday,2,DAY,,Nicole Phillips,"Joshua Clark, Ryan King"
8,Monday,2,NIGHT,,Amanda Foster,Stephanie Lewis
9,Tuesday,2,MORNING,Jennifer Wilson,Marcus Chen,Brian Cooper
9,Tuesday,2,DAY,,Elena Petrov,"Steven Martinez, Michelle Harris"
9,Tuesday,2,NIGHT,,Lisa Williams,Jessica Young
